C,261.626,60
C#,277.183,61
D,293.665,62
D#,311.127,63
E,329.628,64
F,349.228,65
F#,369.994,66
G,391.995,67
G#,415.305,68
A,440.000,69
A#,466.164,70
B,493.883,71
c,523.251,72
c#,554.365,73
d,587.330,74
d#,622.254,75
e,659.255,76
f,698.457,77
f#,739.989,78
g,783.991,79
g#,830.609,80
a,880.000,81
a#,932.328,82
b,987.767,83
c',1046.502,84
c#',1108.731,85
d',1174.659,86
d#',1244.508,87
e',1318.510,88
f',1396.913,89
f#',1479.978,90
g',1567.982,91
g#',1661.219,92
a',1760.000,93
a#',1864.655,94
b',1975.533,95
c'',2093.005,96
c#'',2217.461,97
d'',2349.318,98
d#'',2489.016,99
e'',2637.021,100
f'',2793.826,101
f#'',2959.956,102
g'',3135.964,103
g#'',3322.438,104
a'',3520.000,105
a#'',3729.310,106
b'',3951.066,107
c''',4186.009,108
c#''',4434.922,109
d''',4698.637,110
d#''',4978.032,111
e''',5274.042,112
f''',5587.652,113
f#''',5919.912,114
g''',6271.928,115
g#''',6644.876,116
a''',7040.000,117
a#''',7458.620,118
b''',7902.133,119
c'''',8372.019,120
c#'''',8869.845,121
d'''',9397.273,122
d#'''',9956.064,123
e'''',10548.083,124
f'''',11175.305,125
f#'''',11839.823,126
g'''',12543.855,127
